id,model_number,quantity,profit,deadline,times_of_cooperation,market_value_of_the_customer,importance
1,8,99,119.71,2019-07-28,5,1932,2
2,3,12,15.31,2019-03-20,3,2564,2
3,7,85,102.93,2019-07-07,15,2436,3
4,6,19,23.89,2019-03-30,2,2833,2
5,8,92,111.37,2019-07-18,22,2445,3
6,8,25,30.99,2019-04-08,21,2384,3
7,4,93,112.55,2019-07-19,30,1382,3
8,4,31,38.23,2019-04-17,8,1319,1
9,1,77,93.44,2019-06-25,15,2148,3
10,5,96,116.22,2019-07-24,20,444,2
11,10,85,102.97,2019-07-07,14,1330,2
12,4,54,65.76,2019-05-22,6,2356,2
13,5,29,35.76,2019-04-14,16,736,1
14,5,13,16.64,2019-03-21,24,2519,4
15,4,80,96.95,2019-06-30,13,2640,3
16,10,100,120.93,2019-07-30,3,2044,1
17,5,97,117.49,2019-07-25,14,141,1
18,3,69,83.87,2019-06-13,17,2210,3
19,4,28,34.52,2019-04-13,25,1211,3
20,6,67,81.37,2019-06-10,10,2761,3
21,1,97,117.43,2019-07-25,2,2644,2
22,6,49,59.78,2019-05-14,8,2335,2
23,10,16,20.11,2019-03-26,16,2630,3
24,8,91,110.12,2019-07-16,26,2859,4
25,5,34,41.85,2019-04-22,26,2417,4
26,8,16,20.24,2019-03-26,9,1814,2
27,10,79,95.85,2019-06-28,19,1649,2
28,6,22,27.38,2019-04-04,16,696,1
29,5,20,24.98,2019-04-01,10,2876,3
30,2,79,95.79,2019-06-28,7,2445,2
31,2,9,11.81,2019-03-15,25,2394,4
32,8,32,39.33,2019-04-19,22,2543,3
33,1,11,14.26,2019-03-18,26,2957,4
34,7,85,102.99,2019-07-07,0,875,0
35,6,77,93.46,2019-06-25,12,2284,2
36,9,95,115.05,2019-07-22,13,1679,2
37,7,37,45.38,2019-04-26,7,938,1
38,2,86,104.23,2019-07-09,1,2710,2
39,6,79,95.74,2019-06-28,6,2062,2
40,5,9,11.85,2019-03-15,8,2897,3
41,10,91,110.15,2019-07-16,27,1676,3
42,10,88,106.61,2019-07-12,29,1921,4
43,9,98,118.64,2019-07-27,7,2865,2
44,5,30,37.08,2019-04-16,14,1342,2
45,4,72,87.37,2019-06-18,19,1280,2
46,1,42,51.42,2019-05-04,3,2644,2
47,4,23,28.54,2019-04-05,24,2531,4
48,10,80,96.95,2019-06-30,10,493,1
49,3,95,114.93,2019-07-22,11,1499,2
50,1,66,80.25,2019-06-09,5,1891,1
51,8,32,39.32,2019-04-19,5,1283,1
52,10,67,81.45,2019-06-10,25,1478,3
53,2,24,29.79,2019-04-07,22,2559,3
54,10,70,85.09,2019-06-15,15,2194,3
55,8,66,80.29,2019-06-09,7,1219,1
56,5,57,69.42,2019-05-26,28,1429,3
57,4,53,64.61,2019-05-20,15,839,1
58,4,81,98.26,2019-07-01,4,2855,2
59,6,48,58.67,2019-05-13,8,2945,3
60,7,36,44.24,2019-04-25,13,1246,2
