id,model_number,quantity,profit,deadline,times_of_cooperation,market_value_of_the_customer,importance
1,2,91,110.11,2019/7/16,29,2772,4
2,4,34,41.84,2019/4/22,5,1355,1
3,1,23,28.57,2019/4/5,15,769,1
4,5,30,37.09,2019/4/16,0,1641,1
5,10,96,116.2,2019/7/24,6,1841,2
6,9,34,41.8,2019/4/22,16,1443,2
7,7,28,34.59,2019/4/13,22,652,2
8,10,34,41.8,2019/4/22,12,1318,2
9,9,7,9.35,2019/3/12,11,843,1
10,10,22,27.35,2019/4/4,7,1622,1
11,8,21,26.12,2019/4/2,27,1920,3
12,5,15,19.05,2019/3/24,23,538,2
13,9,46,56.23,2019/5/10,24,129,2
14,9,47,57.44,2019/5/11,0,1058,0
15,6,25,30.9,2019/4/8,30,424,2
16,2,89,107.76,2019/7/13,10,2805,3
17,10,82,99.37,2019/7/3,24,1847,3
18,4,25,31.05,2019/4/8,24,1720,3
19,1,48,58.63,2019/5/13,15,950,2
20,6,89,107.81,2019/7/13,5,807,1
21,8,35,43.03,2019/4/23,11,406,1
22,8,48,58.54,2019/5/13,6,1893,2
23,7,7,9.41,2019/3/12,14,722,1
24,10,28,34.59,2019/4/13,17,1173,2
25,10,94,113.79,2019/7/21,12,956,1
26,10,81,98.27,2019/7/1,21,415,2
27,1,59,71.73,2019/5/29,11,1182,1
28,5,96,116.28,2019/7/24,4,1262,1
29,4,13,16.64,2019/3/21,11,1861,2
30,1,92,111.43,2019/7/18,30,2765,4
31,6,98,118.53,2019/7/27,24,1042,2
32,1,44,53.76,2019/5/7,13,440,1
33,4,38,46.57,2019/4/28,26,2985,4
34,2,80,97.08,2019/6/30,7,2743,2
35,1,33,40.66,2019/4/20,9,620,1
36,10,18,22.52,2019/3/29,2,667,0
37,3,63,76.55,2019/6/4,11,294,1
38,8,43,52.65,2019/5/5,12,2870,3
39,6,67,81.34,2019/6/10,14,1053,2
40,4,91,110.27,2019/7/16,5,2695,2
41,7,35,42.96,2019/4/23,10,2760,3
42,2,92,111.44,2019/7/18,26,2261,4
43,1,28,34.55,2019/4/13,26,2255,4
44,6,18,22.7,2019/3/29,11,2634,3
45,10,30,36.94,2019/4/16,9,1200,1
46,5,44,53.87,2019/5/7,16,1785,2
47,4,12,15.5,2019/3/20,1,2529,2
48,4,46,56.14,2019/5/10,25,487,2
49,7,64,77.73,2019/6/6,3,2451,2
50,5,85,103.05,2019/7/7,16,861,2
51,9,48,58.52,2019/5/13,12,1652,2
52,6,62,75.42,2019/6/3,11,438,1
53,8,71,86.15,2019/6/16,18,2411,3
54,3,40,49.09,2019/5/1,10,1993,2
55,9,7,9.38,2019/3/12,21,1949,3
56,10,88,106.6,2019/7/12,24,303,2
57,1,14,17.79,2019/3/23,15,394,1
58,9,92,111.39,2019/7/18,16,1667,2
59,1,20,24.99,2019/4/1,15,2049,2
60,1,83,100.51,2019/7/4,23,2686,4
