,model_num,quantity,profit,deadline,cooperation,market_value,importance
0,8,84,101.86,2019-07-06,15,665,1
1,5,74,89.75,2019-06-21,3,2953,2
2,10,31,38.13,2019-04-17,2,875,0
3,9,98,118.64,2019-07-27,9,1495,1
4,6,97,117.37,2019-07-25,1,1240,1
5,10,77,93.42,2019-06-25,26,2806,4
6,1,87,105.32,2019-07-10,3,1245,1
7,8,74,89.89,2019-06-21,3,1646,1
8,2,53,64.66,2019-05-20,14,2961,3
9,9,35,43.05,2019-04-23,17,1604,2
10,5,55,67.03,2019-05-23,14,159,1
11,10,8,10.59,2019-03-14,5,831,1
12,2,35,43.08,2019-04-23,11,2198,2
13,9,30,37.0,2019-04-16,0,2735,2
14,9,80,97.05,2019-06-30,11,2249,2
15,3,33,40.58,2019-04-20,21,1203,2
16,1,42,51.34,2019-05-04,19,619,2
17,2,73,88.56,2019-06-19,22,1780,3
18,6,34,41.83,2019-04-22,6,2036,2
19,1,58,70.58,2019-05-28,26,899,2
20,5,87,105.44,2019-07-10,9,1503,2
21,7,33,40.66,2019-04-20,3,2969,2
22,7,82,99.37,2019-07-03,23,2289,3
23,9,89,107.85,2019-07-13,26,1018,3
24,3,37,45.46,2019-04-26,11,1300,2
25,8,28,34.58,2019-04-13,17,905,2
26,9,71,86.17,2019-06-16,4,1555,1
27,2,45,55.01,2019-05-08,12,2033,2
28,5,27,33.48,2019-04-11,10,468,1
29,2,37,45.46,2019-04-26,15,2679,3
30,3,28,34.5,2019-04-13,27,2349,4
31,4,62,75.37,2019-06-03,8,2353,2
32,2,61,74.21,2019-06-01,27,291,2
33,3,89,107.78,2019-07-13,18,1802,3
34,8,13,16.51,2019-03-21,25,2900,4
35,3,18,22.6,2019-03-29,6,1591,1
36,8,25,30.9,2019-04-08,2,385,0
37,5,24,29.73,2019-04-07,20,1974,3
38,5,95,115.09,2019-07-22,12,1941,2
39,3,19,23.85,2019-03-30,9,2395,2
40,9,59,71.86,2019-05-29,16,685,1
41,4,73,88.58,2019-06-19,13,2136,2
42,9,26,32.14,2019-04-10,21,2435,3
43,10,95,114.99,2019-07-22,16,1197,2
44,1,56,68.2,2019-05-25,29,2800,4
45,10,80,96.98,2019-06-30,14,1721,2
46,2,77,93.5,2019-06-25,20,2377,3
47,1,38,46.59,2019-04-28,12,1729,2
48,7,32,39.31,2019-04-19,23,1926,3
49,6,66,80.15,2019-06-09,11,268,1
50,10,86,104.14,2019-07-09,7,2748,2
51,9,70,85.09,2019-06-15,2,567,0
52,5,14,17.89,2019-03-23,26,1658,3
53,7,92,111.4,2019-07-18,30,2940,4
54,5,74,89.85,2019-06-21,7,2131,2
55,10,35,43.08,2019-04-23,30,2771,4
56,7,60,73.0,2019-05-31,7,2449,2
57,2,88,106.51,2019-07-12,10,2705,3
58,2,91,110.15,2019-07-16,0,1886,1
59,5,8,10.67,2019-03-14,7,2306,2
60,8,40,48.9,2019-05-01,27,1369,3
61,3,94,113.77,2019-07-21,22,1170,2
62,3,57,69.36,2019-05-26,4,2376,2
63,4,25,30.97,2019-04-08,14,2883,3
64,4,56,68.28,2019-05-25,25,802,2
65,1,84,101.72,2019-07-06,5,2582,2
66,3,74,89.8,2019-06-21,23,2615,4
67,3,61,74.16,2019-06-01,9,1063,1
68,5,77,93.45,2019-06-25,4,2284,2
69,5,96,116.26,2019-07-24,0,736,0
70,5,80,96.92,2019-06-30,19,897,2
71,9,12,15.4,2019-03-20,11,1785,2
72,5,49,59.8,2019-05-14,7,2574,2
73,1,12,15.35,2019-03-20,21,2955,4
74,4,39,47.74,2019-04-29,16,2431,3
75,5,51,62.22,2019-05-17,27,2255,4
76,9,20,25.0,2019-04-01,29,2144,4
77,4,27,33.31,2019-04-11,11,439,1
78,5,59,71.86,2019-05-29,2,1124,1
79,3,17,21.37,2019-03-27,10,1491,2
80,7,6,8.22,2019-03-11,21,616,2
81,10,15,19.03,2019-03-24,14,373,1
82,10,37,45.38,2019-04-26,2,1173,1
83,4,30,36.97,2019-04-16,26,2726,4
84,7,28,34.68,2019-04-13,1,1440,1
85,4,68,82.59,2019-06-12,7,1892,2
86,10,97,117.4,2019-07-25,12,1038,1
87,5,72,87.39,2019-06-18,7,467,0
88,9,5,6.95,2019-03-09,28,666,2
89,1,63,76.54,2019-06-04,11,670,1
90,6,82,99.41,2019-07-03,18,2760,3
91,7,53,64.6,2019-05-20,5,2283,2
92,10,93,112.52,2019-07-19,28,2410,4
93,2,100,121.07,2019-07-30,23,1779,3
94,7,25,30.99,2019-04-08,20,128,1
95,7,82,99.49,2019-07-03,23,2278,3
96,7,13,16.55,2019-03-21,5,2842,2
97,3,56,68.12,2019-05-25,17,2360,3
98,5,52,63.43,2019-05-19,22,285,2
99,1,75,90.95,2019-06-22,6,1541,1
